 MASS_RT,2,5,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C50B, C53A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A,,,,,
682.2639_19.3,117277,119605,126576,147797,116996,132866,124822,135026,94723,120034,132542,142769,124815,123740,128202,130069,116449,111428,129887,110427,127690,100108,152771,111822,123739,142096,106228,133927,124425,120524,162933,134477,105507,118754,118932,127950,131070,114356,147477,130892,90846,127538,141268,124728,121049,127182,134799,102314,95421,148208,133557,106135,122689,138115,73775,86650,130389,134279,123810,112572,121630,134600,107860,151024,166970,135856,145439,115051,119075,117237,174973,133030,122861,,,,,
683.3395_18.71,22391,31478,42926,38546,22380,75382,48125,34758,22246,53980,38135,43276,29928,37022,29605,38411,31013,21492,22114,41703,25280,14659,34660,17705,27117,47750,17752,29944,32097,29387,50382,44652,29209,25272,26655,19653,27465,34104,42201,33665,24025,38540,49989,29233,27131,36031,33308,31042,21168,62116,28711,21942,28154,31539,12390,11504,32663,34310,36626,24597,21018,38008,50974,31357,43739,23378,35417,35123,23437,31143,36645,40885,39135,,,,,
684.2434_16.49,11763,21366,27734,32561,12922,49651,12323,4299,11989,21814,15786,20393,9492,10336,15719,18026,12163,5435,9993,7303,12018,3888,34193,9982,13081,16426,9337,12311,18047,16587,29864,21065,12319,8600,12637,9214,17948,14618,17588,28437,6332,27018,10785,13989,10496,12224,10656,7215,8603,26416,14823,9359,24282,7982,1915,4724,21224,21139,18872,15564,9856,10072,20777,18540,8521,22825,25561,17013,6127,20839,28093,24519,14591,,,,,
685.7635_0.64,55608,64208,82155,93597,61926,72325,77794,53030,56810,64562,62582,96447,52244,60919,64860,56197,66594,82638,79457,51835,56469,69096,67951,67060,62047,61474,84193,78390,56187,91620,80307,60936,55498,58347,58965,51953,66555,73397,83263,76742,56115,89775,66416,60198,63797,43837,48132,58379,63844,80445,83275,54569,52010,86004,42518,49958,55710,58918,44796,83610,53775,73517,69497,60988,57421,62940,94690,69353,66892,64459,88378,52950,100641,,,,,
686.2595_18.5,95047,129675,143844,163635,113727,177866,125710,132872,95786,143372,148822,139062,117931,135344,122956,138212,106532,106477,120474,123456,133697,84631,153758,87128,125035,154001,93671,124193,147300,129150,181434,137884,121852,117070,126745,128091,128892,111549,160440,151355,88810,129186,139582,143935,122747,118688,129673,95226,77396,174887,144846,97573,126472,134837,59944,84072,133178,138301,123888,101987,115244,123943,130528,136429,170495,141432,159969,138476,109046,118851,202614,158270,117926,,,,,
686.2595_19.27,433216,454440,497555,536367,447118,534441,476143,490472,364064,467381,505507,528710,466298,486374,482072,497969,438629,429035,453314,426425,480431,359817,568499,397331,454959,550156,396841,506306,507921,466723,641778,516973,418230,440131,448255,469947,469213,411259,584955,489244,349507,462191,503372,494355,449129,482954,499483,389218,352726,564187,498164,383379,451222,535630,271803,332749,466679,502734,473788,416122,446817,496538,423725,552089,638316,488008,566267,450809,442768,424611,669340,505518,443372,,,,,
689.2619_17.89,16332,18430,28162,25080,15367,27914,28814,19672,11033,28883,22596,21313,19102,16240,25362,26542,16361,15486,21889,21057,13812,13221,26456,14183,23076,22291,17759,17837,20501,23557,30165,34500,12980,13478,21629,14804,21398,21554,21079,17513,25060,26428,18409,27041,17884,26846,14345,14414,16744,22712,20544,9306,20641,23936,8998,12124,28820,17473,29612,20680,11770,26079,14929,26085,30440,17778,20759,14468,20389,20982,25443,31213,11746,,,,,
689.2669_19.28,96920,98585,113780,125032,102438,112778,105935,111785,82247,105552,108392,121950,102032,105367,110212,112668,99182,94279,108124,96664,107537,79726,127164,90755,103112,118914,88362,115997,115797,106312,142181,122602,93324,96714,100459,104061,112243,92888,126690,112376,78248,107325,113632,109456,103478,110057,107671,89263,83207,126760,112579,85792,102782,121942,60601,71329,109213,112980,106783,94866,96860,113536,99861,124120,144992,113599,125886,100670,101136,96480,154552,113618,100054,,,,,
689.2684_19.28,96920,98585,113780,125149,102438,113095,105935,111785,82247,105552,108392,121950,101774,105367,110212,112664,99182,94279,107948,96664,107277,79726,127164,90755,103112,118914,88362,115700,115797,106531,142559,122602,93324,96714,100459,104061,112243,92888,126690,112376,78248,107325,113356,109456,103478,110057,107671,89263,83081,126608,112579,85792,102897,121942,60840,71329,109092,112980,106783,94866,96860,113536,99861,123980,144992,113599,125650,100670,101136,96480,154400,113618,100054,,,,,
689.2693_18.48,20088,28424,34751,37833,26521,43127,30289,29581,18909,34999,32404,36865,27819,31699,31226,35079,25156,23599,30592,27398,28474,19253,39180,20857,29468,35928,23042,29979,32265,33053,44092,37081,28710,27881,30086,27967,29985,27062,40121,34193,19221,30374,33213,32494,30864,27585,27986,23228,19384,40009,33859,22980,29008,34954,14236,18094,30400,30598,30599,23025,28265,28173,31556,33123,40727,30512,39876,32340,27423,27842,50576,37940,27940,,,,,
690.1793_31.02,42119,17817,80430,46345,20354,17989,42696,15246,11898,31523,41078,30421,65471,22437,58417,89192,64688,26293,26297,19866,35021,28788,65362,15340,47792,26833,68096,40985,32768,65869,51855,28402,26492,26202,22951,31286,97074,59639,43154,45473,44856,52098,48234,23675,50935,35023,17913,56341,11834,136219,51506,60452,78841,62352,40957,11234,149111,171636,18505,6557,27733,39157,26710,81235,16380,39014,77788,38649,20795,44318,40387,21085,47996,,,,,
695.7928_0.64,48731,55941,76100,70805,71411,61846,72807,56954,65443,53868,63165,75689,66000,71230,57050,74286,59923,72921,63600,65811,43693,70127,63481,55792,69995,68190,65265,61085,65308,67904,61417,61106,68943,69517,54300,65280,70116,75600,61009,67362,69121,78046,65657,64426,75837,52424,55529,68680,57896,72031,78592,70304,77293,62177,61153,67942,56730,68260,58054,66154,61590,53910,65791,64466,57999,74671,75695,67759,66005,86553,61702,60486,69341,,,,,
701.3116_17.1,25823,22195,17167,25921,16281,26093,26045,25244,17412,27086,23271,30397,18710,23366,15497,20855,17600,26328,30048,28746,30407,22054,19434,24842,20778,26945,15626,32349,16619,24555,29137,24646,15461,25058,23423,23904,26923,21139,31052,14931,18036,20699,35998,21567,21627,23300,19477,20549,17598,34356,26931,16954,20412,38005,15136,14847,21081,17194,15528,21360,23142,23441,30301,21079,30800,20029,34910,36791,19371,14720,43464,19922,21699,,,,,
701.3127_17.77,105798,96712,74841,103459,75916,86757,97853,101840,77175,93960,97318,116147,83048,92382,75144,84250,80567,104861,132284,103334,118066,91454,97048,108755,94131,108362,85888,129795,77884,85382,123439,106669,71898,106774,90727,115642,109424,92230,122926,83873,72491,89572,128737,93280,99977,94644,89348,92594,83216,118524,104084,87656,87393,135435,69208,76205,92809,86555,74625,95767,97772,94453,90244,91846,126520,90850,122118,99081,90584,72009,141436,85958,95136,,,,,
703.2278_37.37,94528,106800,233976,210319,143244,677949,116223,426579,390111,198065,154725,211739,184509,259707,184560,182140,227929,201969,193211,118810,189749,132101,192893,240885,201802,152338,139722,170328,178151,160340,222791,237039,437119,183621,430110,124371,206887,247001,136688,216519,476423,243362,252376,204373,198363,484675,185711,87634,330244,191402,249253,103194,186704,185871,210846,185706,206482,204579,206777,185195,217863,469627,606831,276128,456617,262706,170373,534066,185573,191162,164417,186861,184913,,,,,
703.3233_20.22,106263,89949,106639,118088,83388,152874,78038,93776,65857,129157,119890,91930,79149,110611,102177,102932,91471,87294,89085,116198,105195,76798,146047,83737,94218,103216,76090,105770,119869,109230,127741,91848,98094,88727,118296,91049,102402,105849,141603,105566,61940,82521,129063,78308,90190,105321,102860,80202,69458,148724,85106,96995,137059,98139,48931,62030,128972,114725,103800,76555,51610,99089,90507,130709,111980,92952,141921,101220,78351,88827,133949,130878,94914,,,,,
705.3422_23.51,89639,118477,147500,148310,123866,158138,146422,149039,113345,143950,153918,160858,119609,159720,112310,138675,103134,95369,128574,126032,153522,97562,114619,118685,104383,141910,89034,147146,157452,118824,171942,138202,132658,118946,154088,129820,152659,124057,152386,121636,112610,117236,172510,152614,119527,131741,120883,111884,88467,179291,135464,78793,106846,133204,59868,80121,118184,123022,120085,86638,103513,118971,125823,159581,128124,122129,170016,144321,130336,94097,197118,114056,115548,,,,,
705.4021_28.1,8393,11630,33332,30443,5309,6285,65733,26580,6494,7788,14405,3619,50038,7799,17028,50649,12969,20044,5312,4394,24249,16158,6140,15755,4613,14426,22094,23233,8681,22905,53099,30295,11897,13106,4039,20793,50014,47344,9411,17543,27380,26160,21042,15027,28628,11437,2498,21016,2180,47611,60339,15985,6683,58220,27691,6375,51886,44287,261,483,54214,22055,39168,40681,25797,6696,36226,53456,9406,3953,46687,6690,27946,,,,,
706.2629_17.76,86828,87074,63977,88035,61226,79295,83314,81631,65656,83926,84127,92054,66030,77280,58961,69580,64652,84779,101885,83446,95016,71844,76322,86274,70822,91835,67441,103145,64660,71282,96420,92393,52568,80820,80922,91262,83255,73712,98991,67694,61610,69392,107812,76320,74854,82051,67102,68080,62884,98752,84843,68077,74047,113607,53496,56810,75798,67090,61613,75819,75553,79580,79914,76341,107115,66514,100809,94632,71322,55852,133861,75515,73696,,,,,
706.5255_33.21,24235,12289,63231,49040,18247,51069,69352,4998,19949,32007,30691,32305,50140,25765,22575,81273,22134,27573,33919,13467,57162,22561,36266,21789,24561,27358,21845,29921,15054,17252,99660,70581,33131,8898,27344,13279,54338,52639,41319,24121,85122,21218,22396,19654,36092,66891,17213,39589,46094,137360,23366,4912,16324,31409,28133,10952,11181,43972,26534,5116,24790,44538,60021,84214,25663,21846,54270,66785,22920,40175,31519,19973,18782,,,,,
708.2778_20.23,59267,50329,53625,60356,39737,86368,39198,48155,33261,70307,64686,51587,36361,56514,51798,52316,48468,42558,40794,65164,51321,34601,76134,43046,46607,49933,34342,48136,64009,55761,58117,48888,51691,41622,66144,44845,45699,49129,71381,50391,29600,39016,61797,37920,43112,51485,55041,36399,34480,77516,41160,53444,72674,45818,20369,30278,59311,52134,54361,39737,25074,54356,45472,68966,59681,40679,67051,54723,38119,39386,69994,69132,47570,,,,,
709.4338_31.03,16845,5466,50716,26893,4860,11692,24581,15251,4945,12321,18680,12179,45067,10214,31520,55109,37154,12329,1173,6995,25528,10430,39100,14322,27313,9749,41222,19160,11501,27861,36969,34024,16661,7025,12523,14620,58942,56040,21467,29295,33562,27785,31532,10033,27011,30236,7477,24957,6668,70959,34065,19948,46707,34234,20725,5059,100388,104343,5057,305,12651,40391,28887,66740,16764,17404,26966,31849,11662,33279,21661,8229,22380,,,,,
710.2594_17.75,259955,253702,187049,278600,189143,255025,269847,261131,204738,275091,249202,290175,212611,252795,175724,211930,198097,272995,320248,279422,330469,226687,238424,263918,231348,299884,209001,334389,190955,236405,312299,257488,175141,289688,245258,292074,276988,235386,325424,202002,185627,225852,362679,247952,261589,245131,220885,219488,203705,326434,282216,211535,232114,371084,161121,179219,241244,217317,176195,243128,249061,250367,274905,231150,337957,216894,342627,340423,210075,171313,418568,219408,248202,,,,,
710.2597_17.07,81148,78107,51802,88855,50093,79043,85945,71830,52672,86562,77700,88286,58925,76130,42270,63612,50386,78351,95710,90597,98023,68341,61545,72825,62411,95788,50716,99489,50955,70213,91425,76582,48062,80319,73216,80963,81995,64766,105269,51108,52405,61100,120352,69111,69156,65712,55321,56424,49112,108777,82461,55955,65935,112394,44624,48040,62646,55280,47338,60586,68441,64736,90510,63929,89856,57064,109564,120916,56276,45816,130123,63696,68568,,,,,
710.2599_17.75,261790,255235,187618,277622,192121,257677,270001,264603,206317,276995,250814,290153,213309,254601,178527,212078,201309,277055,333147,281211,329140,229501,238110,267874,230204,311449,209283,356234,192381,239821,315743,261149,176439,288635,247232,293987,277966,234251,328179,201226,187526,225695,361528,249586,261441,248092,224494,220910,206660,327968,281804,212967,231296,376908,162960,180356,241063,216835,177565,247756,252874,253623,277997,234872,342521,215929,346521,344669,213840,170309,425157,221230,251254,,,,,
710.2952_23.51,40966,52606,68566,72185,53273,66867,66108,60957,49504,66903,70085,75233,52830,67894,46664,66329,41706,43953,57624,56378,73339,40873,51934,50089,44766,72303,41351,63666,67756,55026,76408,57091,59041,55820,66075,57657,68076,54080,71678,55385,45115,51405,79995,66557,54299,53453,52239,45330,35832,85301,65236,34522,48824,57122,23954,32825,51110,50674,50491,36517,45339,49838,52855,65925,55554,52433,77687,63162,53136,41050,87015,56813,54514,,,,,
712.2672_19.59,43706,39999,52623,50563,36604,86085,35812,35584,28485,53599,58415,34385,29428,51030,41212,49334,29765,35717,37725,52899,47947,34096,71814,28219,43282,49658,31846,39858,55468,52551,51331,31533,38599,40763,59600,36455,43084,47223,63403,48182,29744,39072,58702,29510,43789,40423,41920,32805,27119,71960,35794,44446,64257,38948,20816,28283,58280,51493,51277,36878,23694,38331,41424,60574,43720,35056,62343,51838,29185,39325,53723,61462,37821,,,,,
712.2751_20.21,231836,212506,235410,236143,163819,378738,182601,189391,148394,308515,283867,183008,176081,247079,204562,223769,164979,163515,147651,278509,204838,152930,305960,144153,202418,201859,162398,195125,278093,245236,248760,163314,220457,170197,278980,195538,198899,227540,323254,229649,135364,174756,264339,167699,186266,207306,217737,156305,156052,329329,169650,214448,292904,192870,105064,131118,258370,224332,234684,160220,114241,196454,203669,263125,221069,161938,287482,241714,124387,195921,262045,296228,200049,,,,,
712.2753_20.23,158283,144901,164432,176949,112218,264185,131536,140468,101658,210838,195824,132732,124942,168578,140953,161552,120085,117303,108997,194411,155094,104444,230022,95513,153245,151261,126984,135062,188479,174384,176297,107454,151858,119821,192686,135199,138057,159007,233213,163031,93034,133900,201019,114851,133585,146205,158561,106773,110474,240325,127314,147601,224646,131126,74096,92167,191656,171237,166595,120599,80466,143838,143786,187563,158589,125901,206835,170407,93683,141257,191910,205701,140414,,,,,
713.2562_37.35,4381,11814,27575,27055,17068,66925,13018,41398,45428,23220,17099,24478,19216,32380,26232,22937,34377,25905,22630,13877,26684,15535,24249,31947,26934,15708,14102,23041,21462,19665,25229,29633,51276,23623,53132,13951,25962,31470,15650,28622,45987,31365,30740,25866,22714,44118,26030,8726,37973,22064,29564,10686,22250,22963,23231,19355,25485,30412,20809,25834,27315,44681,53614,39035,43381,31838,19703,49267,26552,24699,21363,21093,21074,,,,,
713.2666_17.79,70426,73245,59395,77168,52396,75267,75954,73880,56235,78839,69263,80373,59443,66444,53854,62560,61345,74435,87670,76915,80392,61750,64296,72892,66343,81205,59761,90988,54850,67415,85101,82036,50976,68588,68026,74463,71928,66247,88941,57407,53302,61617,90548,66558,64304,72689,61785,62181,57045,89711,73307,58533,69118,91070,44704,46982,67730,61451,55402,64362,63068,68972,73373,63433,95797,58923,91311,80629,63460,55676,109157,65646,65653,,,,,
714.2899_22.67,35701,48368,63812,61798,54002,67877,64726,66379,42660,53791,67520,72200,47559,67751,44354,65224,40524,41372,50576,55637,62967,37489,42281,47514,42112,69631,33475,60357,56826,53365,74257,55506,51156,49136,65004,47743,64368,48517,76963,49363,44336,46775,80126,57832,48987,48718,51849,37475,32244,87342,57466,28937,42060,58493,20870,26668,46723,46563,50033,32766,43144,48777,54136,66948,53939,49781,80087,68975,49558,37571,88640,51783,46597,,,,,
714.291_23.44,166748,219933,288589,287171,220261,296461,283536,276765,213646,269320,294234,310834,221858,306761,197370,269725,183199,179757,234220,243551,293114,171509,210495,214545,190964,292314,163398,266895,301146,235054,332393,247236,242248,229891,300372,236148,280644,227451,300938,234723,202154,215246,327834,294841,223264,232706,231557,206493,157954,359225,261747,139182,193459,248606,101711,140238,217849,212841,225084,150064,191454,226055,240589,293351,241078,227471,326003,289844,227851,175133,374981,229476,214804,,,,,
714.2917_22.67,36191,48513,64153,62350,54061,68142,65116,67035,42454,53299,67330,71739,47824,67214,44697,65518,40654,41275,50976,55348,62858,37573,42538,48078,41970,70026,33642,60775,56255,53453,74592,55881,50825,49136,64806,47740,63946,48288,77344,49067,44571,46487,79595,57219,48698,49103,51971,37071,32484,87839,57100,29121,42166,58486,20954,26435,46176,46444,50311,32796,43155,49176,54532,66752,54088,49451,79994,69420,49762,37418,88631,51412,46729,,,,,
715.2823_20.25,54132,47424,60743,66735,42587,88962,43216,48503,31965,69196,65652,58939,43900,57991,55453,56228,48678,44899,46151,61811,57436,36445,84788,39661,48504,57168,40736,52906,62883,59270,69222,49199,46237,46307,63653,44502,52625,55806,80876,58112,31184,42939,67601,37266,43524,54140,56613,37150,36750,87422,44645,51118,82595,47095,21376,30232,67460,59265,61197,39069,27813,50719,46974,71582,60797,50048,76459,57383,39010,44779,76133,68856,50384,,,,,
717.6382_0.67,20522,30742,47614,33733,34820,52477,55800,38938,23601,27417,36172,35778,24173,31628,49874,22025,39572,21118,40961,34277,31630,44529,74922,52555,42213,27077,50045,49639,28672,42351,56506,51412,31161,44483,38219,29152,24983,46784,51932,54112,42873,55784,51848,36107,26736,58144,24116,33264,47616,49638,52921,34798,58656,51379,25262,24815,88140,45393,71069,35516,36687,46271,13604,50718,50795,31247,42063,28007,36719,39145,34343,23671,35922,,,,,
717.7785_0.64,80993,85048,102844,111038,109204,94416,108061,80632,86427,72722,92737,116136,77188,81467,95584,89113,89226,119803,96420,80437,84834,109893,97601,93516,104720,82011,106515,114278,92104,114063,109280,100684,77282,101749,75496,80131,86507,114053,107339,103030,98658,108432,91697,88677,93680,85018,74020,81560,94519,106720,113645,89294,114952,98714,83676,86543,103727,104532,79728,103018,90784,85606,81967,97682,86253,97319,109256,95484,105232,120957,102561,81669,104010,,,,,
718.5245_31.89,164191,169800,466502,337226,182474,288609,409664,101150,193942,301308,301477,287204,331613,270120,192881,424082,137380,197898,166999,161888,394545,214742,207879,158013,186506,176762,227564,237863,113940,180446,557513,278797,294651,138326,189789,159898,393421,263603,391620,174440,379127,227986,205375,172286,149451,277712,123106,351745,232427,715455,252744,89956,159502,273555,214562,131583,206831,283043,197161,111981,189127,251622,238760,441955,131639,133515,364380,209126,136371,271420,208889,133905,199447,,,,,
720.5403_35.68,724946,215756,1308904,875337,316067,738187,1552766,461244,353641,656547,380297,598190,1006822,429652,459119,1108021,439741,675604,635002,227987,1045157,459484,718914,434133,672201,529804,466098,632635,210936,510560,2847027,939189,611648,258113,438529,343662,928833,1106431,747414,534639,1454125,693555,639620,497484,672116,570435,440072,798494,658057,2596983,619275,121951,522000,554401,912310,160765,525374,1258734,568154,340965,566590,601953,1165700,1248580,397726,512528,1135484,596835,418430,1110193,612162,359578,470641,,,,,
721.5425_35.68,245561,85223,367032,236387,95191,258343,362449,153312,138236,202858,134942,134482,297063,131279,126521,319738,121083,165546,145179,82866,249880,128644,180954,140284,176421,139615,155134,184557,83598,136524,766798,223730,206020,92622,119373,136664,219253,347309,182536,154962,445655,222243,171186,157239,203448,172077,122286,237625,192587,636315,173286,52617,142090,140492,254589,64645,137174,298294,160923,102666,170817,210070,361150,287541,125946,136915,302043,224694,104338,271504,156404,154091,138231,,,,,
723.2046_37.38,23715,19871,34009,26152,24478,27343,29033,29474,29090,22248,24185,25410,34607,27533,27470,34837,26253,30079,26946,19560,27685,23781,27958,22621,25870,26472,26144,29609,26040,20354,32682,22910,28346,26304,26559,24258,28123,34032,24237,24167,29715,25000,23791,28112,27299,27846,27007,31934,27350,32895,24175,21481,22959,26327,33016,21666,25977,32698,26183,26402,30692,26761,27084,35243,23296,25841,26116,26911,24078,31667,23548,20591,23225,,,,,
732.2437_15.91,11370,27636,12456,8015,7148,34893,100598,13809,11835,33903,19462,36016,22038,12149,5071,9789,15847,27147,1023,11871,10768,3843,24923,11121,29750,18010,5233,7439,13110,11467,19078,20989,7992,5668,17340,2914,7001,14906,43606,39381,13298,20073,33502,4230,7743,23184,24643,13343,354,18420,12838,7906,26909,12378,4855,6606,9711,17633,16272,9162,7402,6523,16627,6109,5258,8238,10392,14855,3802,22884,2237,22388,22492,,,,,
734.2572_17.89,75703,79803,105214,102287,69876,107496,110140,82359,54888,123783,93633,93340,84166,78491,93441,96807,75962,66689,96186,88726,68506,59607,114151,75425,96548,99299,80566,85557,84807,98918,131657,135191,61182,66266,97089,69855,93014,85924,97156,73033,104519,100957,83300,110230,79781,114978,71034,73627,71547,102990,82403,51388,78112,110101,43543,58362,114327,72632,107278,89522,56738,105694,70894,102814,134754,75348,97944,70659,87081,84625,98834,133006,62397,,,,,
734.2577_17.27,22016,24908,27548,27720,18457,37132,34104,21647,15149,39670,30597,29244,21892,24538,23760,27448,18036,19978,24999,29623,19996,18472,29021,19358,26771,27559,18055,24286,22944,29444,38332,36933,17809,18105,28865,17003,29960,24372,29987,18977,30391,28942,31539,34653,20237,29721,18025,20644,15459,33602,25171,14123,20500,31989,9245,16090,29879,20132,27380,21048,15684,28082,23578,25387,32108,19923,30882,27333,20772,21435,31545,41853,17093,,,,,
734.2608_17.89,74591,78719,106324,102845,70400,107321,110678,82492,54598,122868,92444,92365,85163,78413,93321,97901,76201,67504,96626,88004,68347,59651,114838,74690,96931,100073,81494,85411,84428,99904,132227,134820,60815,66674,96647,68935,91966,86623,97798,73026,104425,101413,83397,109204,79829,113928,71242,72938,71832,104073,82553,50837,78249,110922,44069,57712,114262,72985,108424,90281,57232,105767,71213,103637,134957,74958,99002,71285,86854,85248,99505,131301,63136,,,,,
736.2501_19.21,63802,56358,74766,75540,64078,60850,56244,55261,42567,61024,60342,64905,64832,53991,74500,80618,64224,48770,69199,52493,55155,51274,68029,49830,61946,63342,67423,75372,56816,72741,84349,91616,50608,47397,55232,47806,75325,55332,60708,59353,49654,60226,58354,67890,55466,71463,56814,51105,45264,97219,60890,44206,64544,76451,34592,35694,69043,60181,75390,53924,51467,57503,66427,67635,74161,61764,67830,47525,51933,53629,75003,57661,46184,,,,,
738.542_33.52,1747386,1018186,1342243,744990,493191,1598409,816446,499898,1227428,1748847,1459557,583075,1479841,1800640,498605,673547,494060,603628,586085,724114,656098,661581,1258097,797686,734232,607896,772954,717255,1115163,332180,1394135,483075,1532767,544550,1103208,1723446,751453,1028583,861188,738817,1514810,847652,606702,1364421,900962,766941,628488,1923754,905796,1714783,832923,1186119,443581,797694,1133917,634845,889001,1117369,692629,568430,821479,862038,1093801,1325994,628143,771343,693042,1384846,649629,1314931,936416,1941532,697105,,,,,
738.5454_33.52,1603526,1011120,1316833,755070,500304,1612961,823114,506389,1227975,1797051,1448246,584187,1541061,1854008,504475,679605,502651,617578,586651,714924,661590,672619,1270790,815268,740090,616385,783738,728385,1111177,336146,1371108,490476,1535718,551360,1107607,1633247,755730,1032877,871467,746083,1531603,804987,609172,1409478,902337,776454,642019,1917774,917685,1732438,835071,1177989,446564,806035,1192610,633866,891559,1125369,704096,578644,830538,868258,1052896,1305871,637597,771696,701527,1396056,663019,1322695,955748,1913034,706783,,,,,
739.5317_33.42,671701,489986,899613,495130,309086,1107615,462039,337481,655455,1031767,809785,361848,918156,909108,316315,449198,317238,437099,308521,321556,398101,445606,803742,693753,441074,411622,480951,457597,566616,202116,941893,304905,791140,339791,696215,850433,441731,639555,507919,525088,882163,528244,394009,764346,568106,512832,464819,1026233,554031,1185562,459114,608632,256160,544124,673095,312486,503796,675868,464873,358088,517606,562049,691848,869512,379859,437636,408933,1000673,422260,786766,652916,930698,494793,,,,,
739.5338_33.43,491032,484256,890106,486533,307932,1119308,426221,337773,636494,1036127,806220,357749,888076,898279,312734,439702,311394,424283,283421,305974,387876,444863,798548,701727,430444,409399,471874,456925,565651,195159,864110,299653,778386,337214,703145,731956,432983,623526,500040,521358,883333,519914,390497,760575,561155,518905,465641,1008537,555950,1242614,444838,601074,245281,538041,628170,313347,493887,668130,460325,354151,509167,570283,693266,869500,381971,428474,400520,1017976,421653,775251,655550,925856,493463,,,,,
739.6193_0.68,27373,38934,69641,42061,55896,41019,79379,57630,34966,14795,48755,36170,39607,49072,84409,24698,71612,22699,54785,51896,36153,54251,94642,70619,76298,48231,64218,56000,37978,49948,74548,90120,45063,50475,36806,42696,33712,74522,69176,73485,52716,67051,82480,50239,26294,74207,32558,42596,70647,57835,70843,60255,62277,69302,42776,29888,130782,69234,106014,46028,68593,70323,11522,64688,81667,42716,64730,35363,50406,49381,37280,31855,43753,,,,,
740.5339_33.51,548866,378378,489617,271435,185879,614556,283070,187760,453675,661549,547029,208179,507304,619110,192245,253251,183911,232407,192617,250118,237249,247829,451279,324936,270153,221998,281539,266118,406010,125723,490955,178710,552188,196083,427668,619241,257488,318380,304837,267166,505877,286161,215025,507901,307892,294121,240620,647235,320593,534141,280677,407937,155288,268544,378171,223261,299306,383788,249182,212963,303681,335720,374734,376456,235574,264577,256053,552442,254277,448876,354729,667566,269664,,,,,
741.8482_0.6,143179,128174,75962,118768,77959,114736,73862,90620,77348,101943,97256,124485,79302,73213,117509,64887,84722,150245,121341,81080,77597,97472,161850,136233,77449,68771,125876,111413,80245,98321,110169,161539,78177,85600,113506,96510,63787,73270,113652,87857,74386,81273,86569,76501,68029,165347,79307,84324,125593,93473,67950,80537,96747,102320,77850,67852,155000,105302,136420,130992,80828,119703,124288,116319,94119,70559,80472,100696,120914,98774,158397,98386,139363,,,,,
743.4726_0.69,2595,1852,11359,3844,9360,2391,9468,20861,5192,2004,9636,6467,19634,12930,10553,26922,9313,1432,7997,20144,35509,5680,3678,8279,17615,16705,6280,7497,7603,3658,5248,7938,7281,9527,4517,16861,44512,9835,5193,6657,7158,8726,30502,11462,37093,6392,23274,23495,6606,2928,13917,11537,7925,7114,6645,9595,3904,13171,7564,5291,14693,7208,1331,5557,17166,10432,7253,3628,6088,5917,2478,3612,2729,,,,,
743.5457_37.05,47364,62265,229306,105549,63474,321818,110086,316369,81805,76909,95900,91073,159893,63106,62368,169733,160462,136058,75787,45222,124445,50843,96753,105567,151086,72423,104827,69813,61456,47054,107639,131358,135729,74957,103677,136622,93264,251194,52456,151773,229447,93880,102890,64158,125414,340810,87030,63814,197198,148933,117035,37814,56892,66368,129655,42730,87449,219908,85137,71560,118728,297851,258671,160491,242687,129659,72609,340990,78858,201562,41289,73673,59961,,,,,
743.7414_0.65,53651,65220,65219,79233,38859,61968,75893,38563,41087,58823,61734,105366,32558,45802,60711,26015,53167,75975,75070,29895,32994,73989,81161,75364,50217,31705,92269,86585,48920,81622,90204,98451,44395,56420,59378,32790,33199,64443,97434,63808,48823,89983,48909,41491,22881,82732,20809,36388,81170,87029,77057,51487,91449,96787,27236,39945,64905,51949,39438,83167,32138,87287,64774,90023,61087,43298,87481,60299,77636,72672,91791,53772,97746,,,,,
745.2969_18.5,23876,25209,40942,41518,33601,44957,34470,31177,23063,32054,33435,38710,36728,36360,34285,37767,25833,28739,31931,27845,34221,25790,42713,18570,35884,36453,28340,35642,36243,31851,52907,32650,30997,30281,33860,31765,33405,29923,40735,39792,24564,33230,34506,34143,33099,27968,32300,23394,21634,47678,33418,22194,31974,40845,15961,17832,33169,41760,29842,25063,31706,29421,31909,38299,48620,35450,46533,31335,27569,32402,60146,37894,32223,,,,,
745.298_19.29,83347,66498,84151,86185,83185,67774,83297,79060,64294,69049,81339,97513,91943,85332,84068,83668,75686,78834,93966,64987,85825,70445,99120,67928,83809,92552,81619,93229,90184,64431,117195,79389,65147,77676,75114,85946,89738,78734,93765,76063,69509,72392,85286,89985,70038,79645,77731,83177,67488,92042,78141,64397,73185,103608,54242,57256,76999,96676,80355,72535,74422,81230,62040,104191,118332,86069,100212,62666,75083,81705,105461,81177,72610,,,,,
