 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
136.0401_0.77,16086,25536,7378,25111,34347,31054,7416,4684,44397,32418,4353,27194,24956,18704,18646,78541,11869,3584,4385,288409,3385,40411,17747,32499,356509,4860,24700,17516,10332,6340,5534,17052,20377,12116,44307,34115,48286,2352,8711,15252,20212,32990,45144,5905,75518,48897,34998,37829,42408,31572,30903,40270,28760,37565,10126,19113,12906,3745,23857,210833,10233,91786,69555,15392,11181,16381,70167,12199,32360,7183,60188,11564,17294,34600,27858,17577,6373,15055
139.0612_0.67,597426,430310,444227,305080,448680,267320,638703,451706,423552,442901,590721,410021,278796,428760,445326,412478,443362,537245,225525,171373,300961,600140,384135,304283,243408,818416,415397,419865,279485,377460,312736,492605,402642,202978,248044,522747,440518,621988,523076,333474,426877,540808,596120,573828,360594,599856,542079,304517,243348,431975,347046,468328,360567,349202,471361,393796,400412,642992,350484,316231,352930,423849,135107,343938,314215,232662,504385,373383,331598,480328,259661,341439,292951,287010,301256,438960,445067,312066
143.0756_0.94,32431,49806,42904,32465,40877,26593,52328,33479,39039,37903,47079,45110,31542,29896,33074,27505,25403,49226,15155,12605,19130,44791,32665,34618,35221,38148,33863,46310,41320,31178,43090,52466,26783,12707,41746,27707,28088,53820,41019,23747,23867,46018,40492,38745,38983,41485,50972,24963,14795,31678,34053,24843,42937,35867,30694,40862,34582,16498,34909,30305,23412,39284,17014,32580,23801,14557,43299,44304,16338,46486,34848,41801,34213,38781,35006,31822,38048,51468
143.0952_0.7,1306395,994791,906373,665549,1425610,275223,196496,73449,1120458,61250,1149119,63826,1476393,645402,219754,461029,796398,857629,1647539,432424,900957,753619,1316037,473350,49502,2028964,290264,158181,881209,261918,31091,108598,55537,515749,890771,203031,164183,2335036,283216,1946574,1396160,263174,193282,80388,727430,410017,167809,1374201,682383,470572,1358998,720824,473239,210757,270491,415598,260342,1017838,973713,665094,77691,95849,106441,267754,117846,426482,837674,1189629,1950171,166998,327822,962101,63718,728517,485563,1957037,72906,1580112
145.0524_0.94,76331,108798,97780,81807,94368,61373,112301,76361,93448,88274,109585,95900,102960,70490,71487,64440,59137,110424,61358,29708,64504,96660,82422,77560,81159,93657,82996,107712,90358,78520,89855,117414,101022,27836,99735,59702,61504,133678,103168,74071,80891,103874,94085,84855,97758,93973,115114,68944,34790,68893,77680,61184,97062,92364,62035,90034,69543,47444,78782,78956,58514,83279,41149,72729,52574,31129,94179,100965,74602,105711,76027,92049,75364,83331,81725,92435,84459,114666
145.1087_0.69,36215,31042,21484,31572,33785,21238,37718,26314,25172,28800,35593,25683,36956,14930,22587,22347,24939,31995,29947,10766,55257,32944,38852,26965,41949,25964,31322,35451,29205,26415,20673,42838,28280,6710,16432,21816,25081,31682,29198,32707,40251,42572,32542,20238,27175,34012,29350,36215,8697,37922,20655,30242,29772,29722,27453,29037,36224,32578,23223,33201,26979,28585,10538,27750,26733,10053,26142,27983,33277,38732,25000,26885,23775,17378,27972,30482,28444,33339
146.0676_0.77,56634,22205,40317,30330,80283,52507,59499,51507,32651,38264,61971,30489,111394,31352,25886,74265,60789,32371,56980,78366,110907,31856,111475,32800,145543,27659,77416,32180,50333,55482,41706,41128,44099,24628,36095,61423,94470,45057,49750,57080,72659,45792,92404,28089,73409,76269,40057,61168,28027,68508,26939,67351,38747,53127,33961,68748,84307,23351,24751,107940,83844,37356,10761,100491,58810,19847,37590,36184,82191,52254,72732,37949,47234,60362,117143,98279,33517,39702
148.0159_10.05,593826,602689,501680,502817,515576,393714,516718,385906,213637,234376,813436,704624,369653,536016,589871,385471,459932,607656,700179,91449,864447,815063,204449,487560,569649,584158,363268,179360,446361,175544,502966,321569,128114,154629,700438,429844,773734,206781,323181,446606,385308,214591,176787,701172,157967,458429,759999,362385,131860,868897,754202,533953,783529,501219,647278,448961,726423,381031,560724,744655,1005044,511401,233370,639153,377460,55688,399299,746836,251571,1133839,374477,609938,192584,519442,577859,795169,564126,152568
148.0159_20.5,622609,553487,467560,1206212,1104553,1008012,463429,1129662,699928,541423,451078,486160,1121820,1192330,512751,732412,1144688,680683,906515,993629,995150,481594,1157601,1085838,1068927,636420,1077311,1268640,1533577,865376,507652,1063025,1292650,608861,491433,606720,1081657,545846,597713,1002667,1103903,1192970,1238420,525071,1114805,1098349,433469,1061010,466131,646465,453287,607338,1139216,1040346,500675,1144481,813810,1095770,521259,999616,1017205,1152295,449331,740013,938296,451482,608130,515575,792081,539377,1078619,1142561,628896,694200,1042877,792144,476771,1164671
1509.962_19.2,23244,28702,32215,29631,38456,25789,37194,24002,28825,22070,31022,29227,41461,25517,28728,21859,30718,24700,23254,6720,23136,25225,30804,17275,36501,22832,26593,39972,22191,21622,29919,28344,34008,3646,28001,28946,31454,29569,29437,29404,26266,37627,37740,15995,25974,34554,26282,28629,13313,27648,17066,17797,37443,34092,22313,27626,22706,10574,20608,24718,31196,29117,9329,23393,25774,12681,28730,27910,27334,32581,37974,33047,32142,28820,27047,36971,31144,29970
